#,Project,Tracker,Status,Priority,Subject,Assignee,Updated
20,Bugs,Bug,New,Normal,NO-ERROR does not work for FIND statement on preselected results,"",09/24/2011 12:00 PM
21,Core Development,Feature,New,Normal,add new preprocessor options,"",12/02/2004 12:00 PM
1557,Harness,Feature,New,Normal,enhance reporting with additional statistics (provide more than just counters),"",09/18/2012 06:26 PM
23,Core Development,Feature,New,Normal,implement preprocessor activity logging,"",12/02/2004 12:00 PM
24,Core Development,Feature,New,Normal,implement preprocessor variations generation,"",12/02/2004 12:00 PM
25,Core Development,Feature,New,Normal,make line and column tracking accurate in preprocessor,"",12/02/2004 12:00 PM
26,Core Development,Feature,New,Normal,"add support for preprocessor ""features""","",12/02/2004 12:00 PM
1743,Conversion Tools,Feature,New,Normal,create conversion rules to generate utility classes with common include code,"",11/16/2016 12:47 PM
1857,Runtime Infrastructure,Support,New,Normal,"update the implementation planning portions of the Runtime Installation, Configuraton and Administration Guide","",11/16/2016 01:31 PM
1905,Conversion Tools,Feature,New,Normal,why does P2J_HOME have to be explicitly set for running the conversion on Windows and not in Linux? fix this,"",11/16/2016 01:16 PM
