#,Project,Tracker,Status,Priority,Subject,Assignee,Updated
7907,User Interface,Bug,New,Normal,Browse row-leave handler not called after apply entry in FWD,Stanislav Lomany,10/16/2023 04:27 AM
2630,User Interface,Feature,New,Normal,Add ability to save new rows in browse.,Stanislav Lomany,04/05/2016 11:17 AM
4057,Database,Bug,New,Normal,h2 performance degradation,Stanislav Lomany,01/23/2024 04:31 PM
9854,Testing,Support,New,Normal,Discussion on how to leverage Harness to test certain drivers of FWD,Tomasz Domin,05/21/2025 11:15 AM
2162,User Interface,Feature,New,Normal,add support for CURRENT-ITERATION attribute (for widget objects),Vadim Gindin,10/29/2021 02:47 PM
3056,User Interface,Bug,New,Normal,Mouse pointer issues for menus,Vadim Gindin,04/21/2016 01:27 AM
10654,User Interface,Bug,New,Normal,TreeList MultiSelect Mode Issues,Vladimir Tsichevski,10/04/2025 05:19 PM
10433,User Interface,Bug,New,Normal,FILL-IN (DATE type): Incorrect digit insertion position in freshly opened FILL-IN,Vladimir Tsichevski,08/15/2025 11:46 AM
10212,User Interface,Bug,New,Normal,FILL-IN for DECIMAL Variable: Incorrect DELETE-CHARACTER Handling in ChUI Mode,Vladimir Tsichevski,06/25/2025 02:46 PM
10249,User Interface,Bug,New,Normal,Numeric FILL-IN in ChUI Mode: Decimal Delimiter Input Discrepancies,Vladimir Tsichevski,01/09/2026 04:13 PM
10627,Base Language,Bug,New,Normal,Numeric FILL-IN: Format Index Miscalculation,Vladimir Tsichevski,09/26/2025 01:10 PM
2830,User Interface,Bug,New,Normal,investigate if the BROWSE scrolling implementation can be made using less duplication of code,"",11/06/2015 09:03 AM
2672,User Interface,Support,New,Normal,GUI web client performance improvements,"",11/16/2016 12:30 PM
2907,User Interface,Bug,New,Normal,UPDATE statement in a window which is not ACTIVE-WINDOW must bring the window on top,"",11/16/2016 12:23 PM
6006,User Interface,Bug,New,Normal,JVM process failures while executing the swing client,"",01/24/2022 02:34 PM
6904,Base Language,Bug,New,Normal,fix TRANSACTION block issues,"",11/02/2022 08:54 AM
1664,Database,Feature,New,Normal,data import improvements,"",08/07/2024 09:27 AM
2114,Conversion Tools,Bug,New,Normal,"analyze if there are any other ""no reference"" use cases which are mis-converted","",04/10/2013 07:29 AM
2942,Database,Bug,New,Normal,shared temp-tables can use fields with different extent than the master temp-table,"",12/21/2015 06:41 AM
2139,Base Language,Bug,New,Normal,Frames scoped to a subroutine is reused for subsequent calls,"",04/30/2013 06:27 AM
2867,User Interface,Bug,New,Normal,investigate PUT SCREEN problems in ChUI on both linux and windows,"",11/20/2015 09:57 AM
3037,User Interface,Feature,New,Normal,implement FRAME:NEXT-TAB-ITEM runtime support,"",12/18/2025 09:54 AM
1573,Bugs,Bug,New,Normal,Defect in saving logic of rights editor,"",09/29/2012 06:58 AM
2723,Runtime Infrastructure,Bug,New,Normal,intermittent failure in reading loop on P2J server startup in Java 8,"",09/17/2015 05:37 PM
3235,User Interface,Feature,New,Normal,Proper handling of the image loading from file containing several images,"",02/01/2017 07:59 AM
3070,User Interface,Feature,New,Normal,add a dedicated bootstrap config for the non-decorated window mode,"",04/19/2016 10:58 AM
3268,Runtime Infrastructure,Feature,New,Normal,Creating a tool to install and manage FWD server as Windows service,"",03/20/2017 03:31 PM
2675,User Interface,Support,New,Normal,list of differences between the web GUI client and the original 4GL Windows GUI environment,"",11/16/2016 12:23 PM
3019,User Interface,Feature,New,Normal,Add icons support to menu items,"",11/13/2019 11:52 AM
1713,Conversion Tools,Feature,New,Normal,remove duplicated code in frame definitions,"",11/16/2016 12:39 PM
1879,Database,Feature,New,Normal,push lock manager back into database,"",10/24/2019 03:06 PM
2845,User Interface,Bug,New,Normal,rounded rectangle corner drawing,"",11/16/2016 12:23 PM
2827,User Interface,Bug,New,Normal,PAUSE (and probably STATUS) don't cause an otherwise not visible window to become visible,"",11/16/2016 12:23 PM
5,Bugs,Bug,New,Normal,using persistence functions in session hooks,"",05/31/2010 12:00 PM
1518,Conversion Tools,Feature,New,Normal,report fixes,"",09/22/2017 01:36 PM
1847,Runtime Infrastructure,Feature,New,Normal,improve server instrumentation,"",01/08/2025 07:57 AM
1539,Harness,Feature,New,Normal,enhance failure mode support,"",09/18/2012 05:53 PM
1901,Conversion Tools,Feature,New,Normal,modify the conversion process to properly run on Windows,"",11/16/2016 01:16 PM
3265,Conversion Tools,Feature,New,Normal,"enhance pphints to have references, expansions and details in and about directives","",03/15/2017 09:58 AM
2609,Conversion Tools,Bug,New,Normal,Modify conversion processing so that basename can be specified with a trailing /,"",07/16/2015 04:18 PM
3234,User Interface,Bug,New,Normal,loading image with no extension in filename does not work from file system,"",01/31/2017 03:17 PM
3238,User Interface,Bug,New,Normal,GUI BROWSE gives an error when its parent top-level window maximized,"",02/02/2017 04:27 PM
3271,User Interface,Bug,New,Normal,Using NCURSES 6.0 on systems that does not have 5.9 sources with fresh install,"",04/02/2017 06:15 PM
3688,User Interface,Bug,New,Normal,Window can't be resized to smaller sizes,"",08/15/2018 04:09 PM
3270,User Interface,Bug,New,Normal,Wrong alignment of currency fields,"",03/31/2017 05:13 PM
2871,Harness,Feature,New,Normal,browser app driver,"",11/20/2015 09:29 AM
2327,Database,Bug,New,Normal,Wrong values initialized by field initializer ,"",07/02/2014 06:27 AM
3150,User Interface,Bug,New,Normal,A Slider widget doesn't respond to mouse dragging.,"",07/15/2016 12:35 AM
2856,User Interface,Bug,New,Normal,GUI SELECTION-LIST of 1 item doesn't select the item on key down,"",11/17/2015 07:16 PM
1930,Bugs,Bug,New,Normal,"toString for BaseDataType instances called by loggers causes ""Value ... cannot be displayed using <format>""","",12/21/2012 07:28 AM
3117,Database,Bug,New,Normal,test and fix VALIDATION() expressions in a DELETE statement,"",05/31/2016 01:49 PM
3156,User Interface,Bug,New,Normal,Frame is replaced in the target window incorrectly.,"",07/25/2016 01:20 PM
1902,Conversion Tools,Feature,New,Normal,automatically default global configuration changes based on the platform on which conversion is running,"",11/16/2016 01:16 PM
3244,User Interface,Feature,New,Normal,implement search-by-key in SELECTION-LIST,"",06/17/2025 06:27 PM
2864,Harness,Feature,New,Normal,"create window, control and specific rectangle image capture support","",11/20/2015 09:17 AM
3267,User Interface,Bug,New,Normal,same field referenced twice in a frame,"",03/16/2017 02:49 PM
2760,User Interface,Bug,New,Normal,SwingEmulatedWindow.moveToTop() in Swing forces focus to shift to the window that has been moved but this doesn't happen in the 4GL,"",10/16/2015 08:27 AM
1540,Harness,Feature,New,Normal,make default attributes scopeable,"",09/18/2012 05:56 PM
3114,Conversion Tools,Bug,New,Normal,changing SharedVariableManager to call TransactionManager.register[Global](),"",05/18/2016 10:57 AM
2801,User Interface,Bug,New,Normal,frame's dimension (from SIZE option) gets altered  after frame attributes are set,"",11/16/2016 12:23 PM
1852,User Interface,Support,New,Normal,update the UI portions of the Conversion Reference,"",11/16/2016 01:31 PM
1922,Conversion Tools,Feature,New,Normal,identify if and how we can convert the super procedure chain into an interface hierarchy,"",11/16/2016 12:46 PM
2215,Base Language,Feature,New,Normal,implement the unwrapped mode of passing parameters to web service requests,"",12/24/2013 06:15 AM
3258,User Interface,Feature,New,Normal,improve javascript upcalls from the embedded client,"",03/07/2017 12:54 PM
2158,Runtime Infrastructure,Feature,New,Normal,"create a minimal jar file suitable for making a remote connection to a P2J server, processing our data types and handling appserver calls","",11/16/2016 01:08 PM
1536,Harness,Feature,New,Normal,add wait-while-screen-buffer directive,"",09/18/2012 03:59 PM
